,id,work_exp(in years),skill1,skill2
760,296,8,Data Science,Data Analytics
764,297,10,Statistics,Artificial Intelligence
765,298,4,Data Science,Data Analytics
773,299,1,Data Science,Data Analytics
775,300,3,Data engineer,Data Analytics
778,301,0,Executive,Data Analytics
780,302,10,Data Science,Data Analytics
781,303,5,PowerBI,Data Analytics
782,304,3,Data Science,Data Analytics
788,305,2,Data Science,Data Analytics
793,306,0,PowerBI,Data Analytics
794,307,10,Data Science,Data Analytics
797,308,9,PowerBI,Management
799,309,10,Data Science,science and numerics
802,310,5,Data Science,Data Analytics
806,311,8,Machine Learning,Data Analytics
807,312,7,Cloud computing,Data Analytics
809,313,10,Data Science,Data Analytics
810,314,10,PowerBI,Data Analytics
813,315,5,Cloud computing,Deep Learning
814,316,9,Machine Learning,Software Development
831,317,7,Engineer,Data Analytics
833,318,0,Data Science,Data Analytics
836,319,5,Marketing,Artificial Intelligence
837,320,5,Data Science,Hadoop-Apache
845,321,1,Data Science,Data Analytics
846,322,10,Data Science,Data Analytics
847,323,8,Data Science,Artificial Intelligence
850,324,3,Data Science,Data Analytics
852,325,3,Computer Vision,Data Analytics
861,326,6,Statistics,Data engineer
863,327,6,Executive,Data Analytics
864,328,2,Data Science,Data Analytics
865,329,9,Data Science,Data engineer
867,330,9,DBMS,Data Analytics
870,331,2,Machine Learning,Data engineer
871,332,3,Data Science,Management
872,333,6,PowerBI,Data Analytics
873,334,0,Research,Data Analytics
876,335,4,Executive,Data Analytics
877,336,9,Data Science,Data Analytics
879,337,1,PowerBI,Data engineer
881,338,8,Research,Data Analytics
893,339,4,Applied Science,Data Analytics
894,340,7,Machine Learning,Data Analytics
895,341,5,Data Science,Data Analytics
897,342,0,Data Science,Data Analytics
899,343,1,Data Science,Data Analytics
903,344,0,Executive,Data Analytics
905,345,6,Executive,Data Analytics
909,346,8,Engineer,Data Science
912,347,1,Data Science,Data Analytics
913,348,10,Data Science,Data Science
917,349,10,Computer Vision,Management
918,350,2,Data Science,Data Analytics
920,351,1,Machine Learning,Engineer
922,352,8,Data Science,Data Analytics
924,353,0,Management,Management
926,354,7,Machine Learning,Artificial Intelligence
928,355,5,Data Science,Data engineer
929,356,4,Statistics,Data Analytics
931,357,8,Engineer,Data Analytics
934,358,5,Data engineer,Data Analytics
935,359,0,Data Science,Research
943,360,9,Machine Learning,Data Analytics
944,361,8,Statistics,Management
949,362,7,Data Science,Data Analytics
952,363,10,Data Science,Management
953,364,9,Machine Learning,Data engineer
956,365,9,Data Science,Data Analytics
957,366,7,Machine Learning,Data Analytics
958,367,3,Data Science,Data Analytics
960,368,0,Data Science,Hadoop-Apache
964,369,10,Data Science,Data Analytics
969,370,4,Data Science,Data Analytics
971,371,4,Data Science,Data Analytics
972,372,2,Statistics,Data Analytics
973,373,7,Machine Learning,Data Science
976,374,10,PowerBI,Data Science
979,375,1,Executive,Data engineer
981,376,9,Data Science,Data Analytics
983,377,3,Data Science,Data Analytics
984,378,1,Machine Learning,Data Analytics
988,379,7,Data Science,Data Analytics
990,380,9,Executive,Data Analytics
991,381,8,Executive,Data Analytics
995,382,4,Artificial intelligence,Data Analytics
1000,383,4,Executive,Data engineer
1002,384,6,Artificial intelligence,Data Analytics
1011,385,6,Computer Vision,Data Analytics
1017,386,6,Data Science,Data Science
1019,387,5,Management,Management
1021,388,1,Machine Learning,Hadoop-Apache
1022,389,9,PowerBI,Data engineer
1028,390,4,Executive,Management
1034,391,7,Executive,Data Analytics
1035,392,10,Computer Vision,Data Analytics
1039,393,0,Machine Learning,Data Analytics
1040,394,1,Machine Learning,Data Analytics
1041,395,10,DBMS,Management
1042,396,0,Data Science,Hadoop-Apache
1044,397,4,Data Science,Management
1048,398,2,Machine Learning,Data Analytics
1049,399,4,Computer Vision,Management
1052,400,9,DBMS,Data Analytics
1054,401,8,DBMS,science and numerics
1057,402,4,DBMS,Data Analytics
1058,403,0,Marketing,Data Analytics
1059,404,0,Research,Data Analytics
1062,405,10,Data Science,Data Analytics
1064,406,9,Data Science,Infrastructure
1069,407,4,Data Science,Management
1075,408,10,Artificial intelligence,Data Analytics
1077,409,8,Data Science,Artificial Intelligence
1080,410,6,Machine Learning,Data Analytics
1081,411,10,PowerBI,Data Analytics
1083,412,4,Cloud computing,science and numerics
1084,413,4,Data Science,Data Analytics
1087,414,6,Data Science,Data Analytics
1089,415,7,Data Science,Data Analytics
1090,416,2,Engineer,Data Analytics
1091,417,4,Research,Data Analytics
1094,418,2,PowerBI,Data Science
1095,419,8,PowerBI,Management
1100,420,4,Data Science,Data Analytics
1102,421,6,Management,Data Analytics
1103,422,5,Data Science,Data Analytics
1104,423,3,Statistics,Hadoop-Apache
1106,424,0,Data Science,Data Science
1108,425,2,Data Science,Management
1109,426,0,Artificial intelligence,Data Analytics
1113,427,5,Data Science,Management
1114,428,0,Data Science,Data Analytics
1115,429,9,Data Science,Data Analytics
1120,430,9,Statistics,Data Analytics
1123,431,1,Machine Learning,Data Analytics
1128,432,0,Applied Science,Data Analytics
1129,433,1,Data Science,science and numerics
1131,434,0,Data Science,Data Science
1132,435,6,Machine Learning,Data Analytics
1141,436,0,Executive,Data Analytics
1144,437,7,Artificial intelligence,Data Analytics
1150,438,8,Data Science,Data Analytics
1151,439,8,Machine Learning,Data Analytics
1153,440,6,Computer Vision,Data Analytics
1157,441,6,Executive,Data Analytics
1158,442,7,Data Science,Management
1160,443,10,Machine Learning,Software Development
1164,444,10,Machine Learning,Management
1165,445,2,Data Science,Data Analytics
1167,446,10,Data Science,Artificial Intelligence
1173,447,0,Data Science,Data Analytics
1178,448,3,Artificial intelligence,Data Analytics
1179,449,10,Data Science,Data Analytics
1185,450,0,Executive,Data Analytics
1186,451,1,Machine Learning,Data Analytics
1190,452,4,Executive,Data Analytics
1192,453,9,Data Science,Data Analytics
1193,454,8,Data Science,Data Analytics
1197,455,8,Data Science,science and numerics
1200,456,2,Data engineer,Hadoop-Apache
1201,457,6,Management,Data Analytics
1202,458,6,Data Science,Data Analytics
1203,459,3,Data Science,Data Analytics
1204,460,6,Data Science,Data Analytics
1212,461,5,Data Science,Artificial Intelligence
1213,462,6,Data Science,Data Analytics
1216,463,10,Executive,Artificial Intelligence
1221,464,5,Data Science,Infrastructure
1224,465,7,Research,Data Analytics
1225,466,10,Data Science,Data Analytics
1230,467,3,Machine Learning,Data Analytics
1232,468,8,Statistics,science and numerics
1234,469,9,Marketing,Data Analytics
1235,470,4,Statistics,Data Analytics
1236,471,4,Data Science,Artificial Intelligence
1237,472,6,Statistics,Infrastructure
1240,473,2,Data Science,Data Analytics
1241,474,9,Research,Hadoop-Apache
1244,475,0,Data Science,science and numerics
1247,476,6,Data Science,Artificial Intelligence
1248,477,0,PowerBI,Data engineer
1249,478,4,Data Science,Data engineer
1251,479,4,Executive,Data Analytics
1253,480,9,Executive,Data Analytics
1255,481,2,Research,Data Analytics
1256,482,2,Statistics,Data Analytics
1257,483,9,Data Science,Data Analytics
1262,484,0,Data Science,Deep Learning
1264,485,0,Data Science,Data Analytics
1269,486,3,Data Science,Data Analytics
1271,487,8,Artificial intelligence,Data Analytics
1278,488,4,Machine Learning,Artificial Intelligence
1280,489,1,Data Science,Data Analytics
1281,490,10,Data Science,Data Analytics
1282,491,1,Machine Learning,Management
1283,492,9,Machine Learning,Data Analytics
1285,493,0,Data Science,Data Analytics
1286,494,7,PowerBI,Data Analytics
1288,495,1,Data Science,Data Analytics
1294,496,1,Data Science,Research
1296,497,4,Machine Learning,Data Analytics
1300,498,4,Data Science,Data Analytics
1302,499,3,Data Science,Data Analytics
1303,500,3,PowerBI,Artificial Intelligence
1306,501,7,Statistics,Data Analytics
1307,502,2,Data Science,Data Analytics
1310,503,7,Artificial intelligence,Data Analytics
1311,504,5,Data Science,Data Analytics
1314,505,3,Machine Learning,Data engineer
1316,506,7,Data Science,Data Analytics
1317,507,2,Executive,Data Analytics
1318,508,5,Data Science,Data Analytics
1322,509,5,Data Science,Data Analytics
1323,510,0,Product Management,Data Analytics
1326,511,7,Computer Vision,Data Analytics
1327,512,0,Data Science,Data Analytics
1328,513,4,Data Science,Data Analytics
1331,514,1,Statistics,Data Analytics
1336,515,0,Data Science,Artificial Intelligence
1339,516,5,PowerBI,Data Analytics
1342,517,6,Data Science,Data Analytics
1345,518,3,Machine Learning,Data Analytics
1346,519,10,Computer Vision,Data engineer
1347,520,10,Data Science,Artificial Intelligence
1355,521,3,Data Science,Data Analytics
1357,522,2,Machine Learning,science and numerics
1358,523,7,Machine Learning,Data Analytics
1359,524,4,Data Science,Artificial Intelligence
1360,525,10,Machine Learning,Data Analytics
1361,526,7,Data Science,Hadoop-Apache
1362,527,4,Data Science,science and numerics
1365,528,1,Data engineer,Data engineer
1367,529,3,Management,Data Analytics
1368,530,2,Executive,science and numerics
1371,531,8,Data Science,Data Science
1375,532,0,Data Science,Data Analytics
1377,533,2,DBMS,Data Analytics
1379,534,5,Executive,Data Analytics
1385,535,9,Data Science,Research
1388,536,10,Statistics,Data Analytics
1389,537,6,Data Science,Data Analytics
1392,538,4,Data Science,Data Analytics
1394,539,3,Data Science,Artificial Intelligence
1395,540,1,Data Science,Data Science
1396,541,8,Data Science,Data Analytics
1403,542,0,Data Science,Data Analytics
1412,543,9,Research,Data Analytics
1413,544,0,PowerBI,science and numerics
1414,545,10,Data Science,Software Development
1416,546,6,Machine Learning,Data Analytics
1421,547,10,Data Science,Data Analytics
1422,548,10,Machine Learning,Data Analytics
1426,549,3,Machine Learning,Data engineer
1429,550,7,Data Science,Engineer
1430,551,1,Computer Vision,Data Analytics
1431,552,5,Research,Data Science
1432,553,9,Research,science and numerics
1433,554,0,Artificial intelligence,Data Analytics
1434,555,1,Management,Data Analytics
1438,556,6,DBMS,Data Science
1440,557,7,Data Science,Data Analytics
1445,558,7,DBMS,Management
1446,559,0,Machine Learning,Management
1450,560,1,Machine Learning,Data Analytics
1452,561,2,Executive,management
1454,562,2,Data engineer,Data Analytics
1455,563,2,Data Science,Data Analytics
1460,564,1,Machine Learning,Data Analytics
1461,565,1,Management,science and numerics
1471,566,3,Data Science,Data Analytics
1474,567,6,Executive,Data Analytics
1476,568,8,Data Science,Data engineer
1478,569,0,Data Science,Artificial Intelligence
1486,570,0,Data Science,Data Analytics
1487,571,1,Machine Learning,Data Analytics
1491,572,2,Data Science,Data Analytics
1494,573,9,Data Science,Management
1496,574,10,Data Science,Data Science
1497,575,6,Data Science,Data Analytics
1501,576,1,Statistics,Data Analytics
1505,577,3,Data Science,Data Analytics
1506,578,10,Data Science,Data Analytics
1508,579,8,Data Science,management
1509,580,2,Data Science,Data Analytics
1513,581,5,Data Science,science and numerics
1518,582,9,Data Science,Data Analytics
1522,583,6,Executive,Data Analytics
1526,584,7,Data Science,Data Analytics
1531,585,8,Data Science,Management
1533,586,4,Artificial intelligence,Data Analytics
1534,587,4,Machine Learning,Deep Learning
1541,588,5,Data Science,Data engineer
1542,589,6,Data Science,Data engineer
1547,590,5,Data Science,Artificial Intelligence
1548,591,8,Data Science,Data Analytics
1552,592,4,Statistics,Data Analytics
1553,593,4,Data Science,Data Analytics
1557,594,7,Data Science,Data Analytics
1563,595,1,Data Science,Data Analytics
1565,596,5,Artificial intelligence,Data Science
1567,597,5,Data Science,Data Analytics
1570,598,3,Data Science,Data Analytics
1573,599,6,Data Science,Data Analytics
1574,600,1,Executive,Data Analytics
1576,601,3,Machine Learning,Data Analytics
1579,602,8,Data Science,Data Analytics
1580,603,6,Data Science,Management
1581,604,10,Statistics,Data Analytics
1582,605,4,Artificial intelligence,management
1584,606,7,Data Science,Data Analytics
1587,607,2,Data Science,Data Analytics
1591,608,3,Data Science,Data Analytics
1593,609,3,Computer Vision,Data Analytics
1595,610,8,Machine Learning,Data Analytics
1598,611,10,DBMS,Data Analytics
1600,612,5,Executive,Artificial Intelligence
1607,613,3,Management,Deep Learning
1608,614,7,Computer Vision,Data Analytics
1609,615,8,Data Science,Data Analytics
1612,616,2,Data Science,Artificial Intelligence
1618,617,0,Data Science,Data Analytics
1619,618,5,Data Science,Data Analytics
1620,619,8,Computer Vision,Data Analytics
1622,620,7,Data Science,Data Analytics
1623,621,0,Machine Learning,Data Analytics
1624,622,1,Research,Deep Learning
1625,623,1,Executive,Data Analytics
1627,624,7,Executive,Data Analytics
1628,625,2,Management,Data Analytics
1629,626,3,Machine Learning,Data Science
1630,627,10,Machine Learning,Data Analytics
1631,628,4,Data Science,management
1632,629,3,Machine Learning,Data Analytics
1639,630,10,Machine Learning,Data Analytics
1642,631,2,DBMS,Data Analytics
1643,632,1,Machine Learning,Data Science
1644,633,3,Data Science,Data Analytics
1647,634,8,Data Science,Data Analytics
1650,635,0,Executive,Data engineer
1653,636,10,Data Science,Data Analytics
1654,637,6,Data Science,Data Analytics
1656,638,1,Management,Data engineer
1657,639,2,Applied Science,science and numerics
1659,640,3,Data Science,Data Analytics
1662,641,8,Machine Learning,Software Development
1664,642,6,Data Science,Infrastructure
1670,643,7,Executive,Data Analytics
1673,644,10,Artificial intelligence,science and numerics
1676,645,7,Machine Learning,Data Analytics
1677,646,8,Artificial intelligence,Data Analytics
1682,647,9,Statistics,Data Analytics
1684,648,1,Data Science,Management
1685,649,0,Data Science,Data Analytics
1698,650,0,DBMS,Data Analytics
1699,651,0,Data Science,Artificial Intelligence
1701,652,1,Finance,Data Analytics
1711,653,9,Data Science,Data Analytics
1712,654,7,Machine Learning,Data Analytics
1714,655,4,Statistics,Data Analytics
1716,656,0,Data Science,Hadoop-Apache
1717,657,4,Engineer,Engineer
1718,658,0,Data Science,Data Analytics
1719,659,7,Machine Learning,Data Analytics
1722,660,6,Data Science,Data Analytics
1723,661,3,Machine Learning,Data Analytics
1724,662,4,Statistics,Data Analytics
1729,663,4,Statistics,management
1730,664,7,Data Science,Data Analytics
1733,665,5,Executive,Data Analytics
1734,666,1,Data Science,Data Analytics
1736,667,4,Statistics,Data Science
1737,668,5,Data Science,Data Analytics
1742,669,2,DBMS,Data engineer
1745,670,0,Management,Management
1747,671,4,Management,Data Analytics
1750,672,0,Machine Learning,Data Science
1751,673,3,Data Science,Data Analytics
1752,674,2,DBMS,Data Analytics
1755,675,7,DBMS,Software Development
1756,676,9,Data Science,Data Analytics
1757,677,10,Data Science,Data Science
1763,678,0,Machine Learning,Data Analytics
1765,679,4,Research,Data Analytics
1767,680,10,Machine Learning,Data Analytics
1771,681,6,Statistics,Data Analytics
1773,682,10,Data Science,Data Analytics
1774,683,10,Data Science,Data Analytics
1778,684,8,Research,Data Analytics
1779,685,2,Artificial intelligence,Hadoop-Apache
1781,686,4,Data Science,Data engineer
1783,687,10,Data Science,Data Analytics
1790,688,1,Data Science,Artificial Intelligence
1794,689,6,Data Science,Data Analytics
1796,690,7,Data Science,Data engineer
1797,691,0,Machine Learning,Data Analytics
1810,692,1,Statistics,Data Science
1811,693,2,Data Science,Data Analytics
1813,694,9,Statistics,Hadoop-Apache
1814,695,4,Computer Vision,Data Analytics
1815,696,4,Statistics,Data Analytics
1822,697,6,Statistics,Data Analytics
1823,698,5,Data Science,Data Analytics
1829,699,1,Management,Deep Learning
1830,700,1,DBMS,Data Analytics
1832,701,0,Machine Learning,Data Analytics
1834,702,8,Computer Vision,Management
1837,703,3,Data Science,Software Development
1841,704,1,Data Science,Data Analytics
1845,705,9,Research,Artificial Intelligence
1846,706,9,Data Science,Data Analytics
1847,707,7,Data Science,science and numerics
1850,708,2,Machine Learning,Data Analytics
1852,709,8,Data Science,Data Analytics
1854,710,6,Statistics,Artificial Intelligence
1855,711,9,Computer Vision,Data Analytics
1856,712,8,Data Science,Management
1858,713,5,Data Science,Data Analytics
1859,714,2,Data Science,Data Analytics
1861,715,6,Data Science,Data Analytics
1873,716,9,Data Science,Infrastructure
1875,717,3,Machine Learning,Data Analytics
1877,718,3,Data Science,Data Analytics
1878,719,7,Data Science,Data Analytics
1880,720,2,Data Science,Data Analytics
1884,721,4,Data Science,Data Analytics
1885,722,0,Statistics,science and numerics
1887,723,4,Statistics,Artificial Intelligence
1894,724,6,Machine Learning,Data Analytics
1896,725,9,Data Science,Data Analytics
1897,726,4,Data Science,Data Analytics
1901,727,6,Data Science,Data Analytics
1902,728,2,Data Science,Data Analytics
1903,729,9,Data Science,management
1904,730,6,Machine Learning,Artificial Intelligence
1905,731,6,Data Science,Data Analytics
1907,732,10,Data Science,Data Analytics
1908,733,9,Applied Science,Data Science
1910,734,6,Research,Data Analytics
1912,735,8,Machine Learning,Data Analytics
1913,736,7,Executive,Data Analytics
1916,737,1,Computer Vision,Data Analytics
1917,738,6,Artificial intelligence,Data Analytics
1918,739,6,Machine Learning,Data Analytics
1921,740,1,Artificial intelligence,Artificial Intelligence
1922,741,2,Data Science,Data Analytics
1925,742,6,Data Science,Data Analytics
1928,743,2,Data Science,Data Analytics
1929,744,3,Data Science,science and numerics
1932,745,8,Statistics,Data Analytics
1934,746,10,Data Science,Data Analytics
1942,747,4,Data Science,Data Analytics
1943,748,4,Data Science,Data Analytics
1947,749,6,Data Science,Software Development
1951,750,9,Marketing,Management
1954,751,3,Data Science,Data Analytics
1958,752,10,Machine Learning,Artificial Intelligence
1959,753,10,Data Science,Data Analytics
1960,754,7,Executive,Data Analytics
1962,755,0,Data Science,Artificial Intelligence
